Product Name,Brand Name,Price (Ksh),Discount (%),Total Reviews,Popularity
"Tecno Camon 20  6.67-inch 256GB+8GB RAM-64 MP-battery-5000mAh-+ALL GIFTS,./CY//",product,"KSh 24,999",50%,0,Low
"Tecno Spark 10C, 6.6"", 128GB + 4GB, Dual SIM, 5000mAh + Smart Watch & Power Bank",product,"KSh 18,799",26%,0,Low
"XIAOMI Redmi 13C , 6.74""  8GB RAM + 256GB ROM, 50MP AI Triple Camera, 5000mAh (Dual Sim) - Midnight Black",product,"KSh 18,099",42%,0,Low
"Samsung Galaxy A03 Core, 6.5"", (Dual SIM) 32GB + 2GB RAM, 5000mAh_ Black + FREE GIFTS",product,"KSh 12,350",38%,0,Low
"Infinix Smart 7 HD 6.6"" HD+, 64GB + 2GB RAM Expandable To 4GB, 5000mAh + Free Gifts",product,"KSh 12,399",35%,0,Low
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black",product,"KSh 19,895",30%,0,Low
"Skyworth 43E3A, 43"" Full HD Frameless Smart Android TV â€“ Black (1YR WRTY)",product,"KSh 27,999",38%,0,Low
Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black,product,"KSh 20,599",22%,0,Low
"Vitron HTC3200S 32"" Smart Frameless Android LED TV (1YR WRTY)",product,"KSh 11,790",35%,0,Low
Hisense 55A6K UHD 55 inches smart TV (2YRs WRTY),product,"KSh 57,499",12%,0,Low
Hikers 32'' Inch Frameless Android Smart HD LED TV - Black,product,"KSh 11,999",41%,0,Low
"Vision Plus VP8832DF 32"" HD Frameless Digital LED TV - Black + FREE WALL MOUNT. (2YRs WRTY)",product,"KSh 11,550",28%,0,Low
"Skyworth 50G3A, 50&Prime; 4K UHD Frameless Smart Android TV &ndash; Black (1YR WRTY)",product,"KSh 43,999",21%,0,Low
"Vitron 4388-FS 43""inch FHD Frameless Smart/Android TV InbuiltDecoder/+TVGuard+Bracket",product,"KSh 22,595",25%,0,Low
Vitron HTC5068US 50&rdquo; Smart Android 4K UHD LED TV - Black (1YR WRTY),product,"KSh 34,220",14%,0,Low
"Vitron HTC3200S,32""Inch Frameless Smart Android TV NetflixYoutube+FREE TVGuard+Bracket",product,"KSh 14,589",27%,0,Low
"Skyworth 55G3B, 55â€ 4K QLED 2022 Frameless Smart Android TV â€“ Black (1YR WRTY)",product,"KSh 54,999",21%,0,Low
Hikers 50'' Inch Frameless Android Smart 4K LED TV - Black+Free WALL MOUNT,product,"KSh 33,990",32%,0,Low
"Amtec 43L12, 43"" FHD Smart Android TV, Netfix, Youtube, Bluetooth - Black",product,"KSh 20,632",37%,0,Low
"Vitron 4388FS,43"" Inch FRAMELESS Smart Android TV Netflix INBUILT DECODER+FREE BRACKET",product,"KSh 21,995",21%,0,Low
"Tecno Camon 30, 6.78"", 256GB + 8GB (8GB RAM Extended) 4G (Dual SIM) - 5000mAh- Balistic Dark + TWS Earpods",product,"KSh 29,999",14%,0,Low
"Tecno Spark 20,6.6"",4+128GB 50MP Camera,5000mAh,Gravity Black (1YR WRTY)",product,"KSh 14,799",43%,0,Low
"Tecno Spark 20, 6.6"", 128GB + 8GB RAM (4GB+4GB Extended), 50MP, 5000mAh, Cyber White",product,"KSh 14,799",26%,0,Low
